"num","text","favorited","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","retweeted","longitude","latitude"
1,"@ayyytylerb that is so true drink lots of coffee",FALSE,"ayyytylerb","8/9/2013 2:43",FALSE,3.65664e+17,3.65665e+17,1637123977,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thejennagibson",0,FALSE,NA,NA
2,"RT @bryzy_brib: Senior March tmw morning at 7:25 A.M. in the SENIOR lot. Get up early, make yo coffee/breakfast, cus this will only happen ?",FALSE,NA,"8/9/2013 2:43",FALSE,NA,3.65665e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","carolynicosia",1,FALSE,NA,NA
3,"If you believe in #gunsense tomorrow would be a very good day to have your coffee any place BUT @Starbucks Guns+Coffee=#nosense @MomsDemand",FALSE,NA,"8/9/2013 2:43",FALSE,NA,3.65665e+17,NA,"web","janeCkay",0,FALSE,NA,NA
4,"My cute coffee mug. http://t.co/2udvMU6XIG",FALSE,NA,"8/9/2013 2:43",FALSE,NA,3.65665e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlexandriaOOTD",0,FALSE,NA,NA
5,"RT @slaredo21: I wish we had Starbucks here... Cause coffee dates in the morning sound perff!",FALSE,NA,"8/9/2013 2:43",FALSE,NA,3.65665e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rooosssaaaa",2,FALSE,NA,NA
6,"Does anyone ever get a cup of coffee before a cocktail??",FALSE,NA,"8/9/2013 2:43",FALSE,NA,3.65665e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","E_Z_MAC",0,FALSE,NA,NA
7,"I like my coffee like I like my women...black, bitter, and preferably fair trade. I love #Archer",FALSE,NA,"8/9/2013 2:43",FALSE,NA,3.65665e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Charlie_31191",0,FALSE,NA,NA
8,"@dreamwwediva ya didn't have coffee did ya?",FALSE,"dreamwwediva","8/9/2013 2:43",FALSE,3.65664e+17,3.65665e+17,1316942208,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JessicaSalvato5",0,FALSE,NA,NA
9,"RT @iDougherty42: I just want some coffee.",FALSE,NA,"8/9/2013 2:43",FALSE,NA,3.65665e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaytiekirk",1,FALSE,NA,NA
10,"RT @Dorkv76: I can't care before coffee.",FALSE,NA,"8/9/2013 2:43",FALSE,NA,3.65664e+17,NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","lissteria",2,FALSE,NA,NA
