word,freq,rank
sb,1984423,1
rt,1700564,2
the,1101899,3
to,588803,4
a,428598,5
for,388390,6
esurancesweepstakes,326464,7
you,322154,8
broncos,296673,9
esurance,292468,10
in,266847,11
is,265392,12
of,245718,13
on,234509,14
win,233618,15
and,233157,16
panthers,215919,17
nfl,212620,18
i,202765,19
super,183808,20
at,182673,21
with,176209,22
bowl,175996,23
this,172636,24
your,146487,25
superbowl,143345,26
it,142812,27
are,136649,28
keeppounding,134436,29
that,130056,30
be,128878,31
will,126930,32
k,116187,33
game,115213,34
amp,114805,35
we,108680,36
our,103023,37
my,88247,38
got,88099,39
cam,84442,40
https\x85,82291,41
big,82116,42
if,79843,43
but,78986,44
from,77616,45
just,77562,46
time,75405,47
now,73245,48
all,70581,49
have,68565,50
up,68325,51
who,66217,52
out,66030,53
show,64489,54
sbfanvote,63026,55
peyton,62986,56
so,62878,57
chance,61111,58
was,60982,59
why,59658,60
watch,59629,61
see,57424,62
like,56911,63
winning,56585,64
not,56455,65
commercial,56182,66
get,55496,67
by,55237,68
coldplay,54729,69
more,53962,70
think,52840,71
what,50489,72
go,46303,73
one,46216,74
do,45832,75
over,45569,76
here,44364,77
halftime,43338,78
away,42667,79
good,42008,80
me,41743,81
gaga,41566,82
lady,41473,83
i\x92ve,40003,84
how,39888,85
httpstco\x85,39808,86
ready,39421,87
manning,38575,88
pepsihalftime,38498,89
could,37085,90
wearing,35345,91
ad,32997,92
during,31292,93
it's,31018,94
about,30832,95
beyonce,29258,96
doritos,29183,97
httpst\x85,28980,98
an,28908,99
day,27361,100
going,27283,101
anthem,23367,102
after,23183,103
national,22575,104
than,22456,105
team,21964,106
want,21095,107
gonna,20530,108
some,20213,109
his,19514,110
denver,19428,111
best,19115,112
ladygaga,18887,113
can,18483,114
i'm,18120,115
pass,16901,116
today,14239,117
enter,14110,118
socks,13475,119
avosinspace,13424,120
shoes,13329,121
sandals,13326,122
reporter,13304,123
jeans,13231,124
biggame,13221,125
httpstcoqdraydnsb,13194,126
brunomars,12641,127
tomorrow,12225,128
sweepstakes,11635,129
check,11502,130
when,11362,131
avosfrommexico,11341,132
beyonc\xe9,11293,133
sunday,11102,134
great,10986,135
seo,10660,136
mvp,10637,137
performance,10331,138
as,10136,139
love,10040,140
they,9963,141
new,9745,142
field,9616,143
did,9495,144
congrats,9468,145
tmobile,9397,146
still,9384,147
no,9368,148
drake,9284,149
tonight,8914,150
special,8732,151
yougotcarriered,8719,152
he,8697,153
last,8629,154
has,8536,155
too,8379,156
superbowlsunday,8316,157
let's,7977,158
make,7970,159
